date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2018-06-13,80.7795,80.9363,79.8291,79.8683,12049278,12049278,-0.891671,-1.104,80.2683,"Jun 13, 18",-0.026351367001544473
2018-06-14,80.2896,80.6423,79.8585,80.2406,11477252,11477252,0.372346,0.466,80.3005,"Jun 14, 18",-0.02181277802362306
2018-06-15,80.074,80.172,78.8884,79.0354,23797456,23797456,-1.2052,-1.502,79.464,"Jun 15, 18",-0.03650498172008015
2018-06-18,78.7806,79.7409,78.6826,79.1922,9192567,9192567,0.156778,0.198,79.2641,"Jun 18, 18",-0.034593483595615725
2018-06-19,78.2809,79.3294,78.1045,79.0746,8759708,8759708,-0.117583,-0.148,78.9343,"Jun 19, 18",-0.03602710718896395
2018-06-20,79.2216,79.4959,78.6532,78.8296,8917708,8917708,-0.244965,-0.31,78.9457,"Jun 20, 18",-0.03901382300843959
2018-06-21,78.4083,78.761,77.7273,78.0849,10990663,10990663,-0.744692,-0.945,78.1649,"Jun 21, 18",-0.048092220031963874
2018-06-22,79.5253,80.2897,79.2901,79.7409,16707364,16707364,1.656,2.121,79.8209,"Jun 22, 18",-0.02790445922767188
2018-06-25,79.153,79.6037,77.7028,78.1339,10557249,10557249,-1.607,-2.015,78.2657,"Jun 25, 18",-0.04749487686806885
2018-06-26,78.5357,79.3828,78.3593,79.0158,10382781,10382781,0.881873,1.129,78.9558,"Jun 26, 18",-0.036743918985638155
2018-06-27,79.4273,80.8187,79.4273,80.0642,12724265,12724265,1.0484,1.327,80.1575,"Jun 27, 18",-0.02396321341364549
2018-06-28,80.0838,80.417,79.3979,80.319,9390654,9390654,0.254763,0.318,80.0824,"Jun 28, 18",-0.02085702896139085
2018-06-29,80.7893,81.8574,80.6326,81.0637,17323207,17323207,0.744692,0.927,81.3757,"Jun 29, 18",-0.011778631937866567
2018-07-02,80.2406,80.4758,79.6821,80.1132,9998318,9998318,-0.950463,-1.172,80.1063,"Jul 2, 18",-0.023365870249750294
2018-07-03,80.9167,81.7692,80.4268,80.5836,7197258,7197258,0.470333,0.587,80.817,"Jul 3, 18",-0.017631375876357203
2018-07-05,80.9265,81.1029,80.3974,80.6521,9035873,9035873,0.06859,0.085,80.7573,"Jul 5, 18",-0.016796314514585457
